year,artist,streams
2017,"AGC-17, TURBOMODUL, Jacob Ditzel, Charter McCloskey, Lars Therkildsen",0.0
2017,AGNEZ MO,642067.0
2017,AHI,0.0
2017,AHTI,0.0
2017,AI,326078.0
2017,"AI, Kanna",348039.0
2017,AILEE,1482890.0
2017,AINÉ,0.0
2017,AJ Mitchell,0.0
2017,"AJ Salvatore, Fluencee",0.0
2017,AJ Tracey,816299.0
2017,AJ x Deno,0.0
2017,AJJ,0.0
2017,AJR,412128786.0
2017,AJÉ,0.0
2017,AK,17519.0
2017,AK AUSSERKONTROLLE,333930.0
2017,"AK AUSSERKONTROLLE, Bonez MC",9289662.0
2017,"AK AUSSERKONTROLLE, Fux Ausserkontrolle",122328.0
2017,"AK AUSSERKONTROLLE, Kontra K, Fux Ausserkontrolle",0.0
2017,"AK-47, Noggano",0.0
2017,AK420,0.0
2017,"AKA Block, Satta",0.0
2017,AKAIKO-EN,17692.0
2017,AKB48,4111.0
2017,"AKIRA, P Vlex",0.0
2017,AKKOGORILLA,67169.0
2017,"AKKOGORILLA, Taichi Mukai",27851.0
2017,"AKLO, JAY'ED",180374.0
2017,AKMU,106603.0
2017,ALA.NI,0.0
2017,ALC und Band,0.0
2017,ALEX CHOU,22625.0
2017,ALI,0.0
2017,ALIS,0.0
2017,ALIUS,3652.0
2017,"ALIUS, Ariela Jacobs",3138.0
2017,"ALIUS, Rasmus Hagen",20411.0
2017,ALL OFF,0.0
2017,ALMA,50690535.0
2017,"ALMA, French Montana",7680968.0
2017,"ALN, Mwuana, Karim Alger",0.0
2017,ALP,768043.0
2017,ALPHA 9,0.0
2017,ALTANA,0.0
2017,"ALVN, Exlau, Rosendale",0.0
2017,"ALX, Arineh",0.0
2017,ALYPH,0.0
2017,AM,545163.0
2017,AM!R,0.0
2017,AMA,0.0
2017,AMADEUS,0.0
2017,AMANDA,11983122.0
2017,"AMP, Hafiz Suip, Jaclyn Victor",0.0
2017,"AMR, Cherrie, Keya",0.0
2017,AMYO,0.0
2017,AMiR,2751.0
2017,ANAVITÓRIA,44413492.0
2017,"ANAVITÓRIA, Diogo Piçarra",466819.0
2017,"ANAVITÓRIA, Matheus & Kauan",39462630.0
2017,"ANAVITÓRIA, Tiago Iorc",35702878.0
2017,"ANDREZO, Gson",316788.0
2017,ANDY SVGE,0.0
2017,"ANG, SaberZ",0.0
2017,"ANH, quickly, quickly",0.0
2017,ANI,0.0
2017,ANIA,0.0
2017,ANIMA!,0.0
2017,ANIMAL HACK,0.0
2017,ANNA,127590.0
2017,ANOHNI,0.0
2017,ANOTR,0.0
2017,ANTH,0.0
2017,ANTIHELD,0.0
2017,ANYA,0.0
2017,AOA,22837.0
2017,"AOBeats, Eric Nam",0.0
2017,AOM,0.0
2017,"APEK, Karra",0.0
2017,"APOLICE, A-Park",0.0
2017,APRIL,0.0
2017,AREA21,2433.0
2017,ARIA,0.0
2017,ARISE,0.0
2017,ARLE,40728.0
2017,ARME,0.0
2017,"ARMNHMR, NKOLO",0.0
2017,AROMA,0.0
2017,ART-SCHOOL,0.0
2017,ARTY,65373.0
2017,"ARTY, Eric Nam",0.0
2017,ARY,213681.0
2017,ASCA,0.0
2017,ASF,0.0
2017,ASHI,0.0
2017,ASIAN KUNG-FU GENERATION,228310.0
2017,ASTRO,0.0
2017,"ATB, Andrew Rayel",0.0
2017,"ATB, F51, Robbin & Jonnis",0.0
2017,ATYPISK,635003.0
2017,ATkel,0.0
2017,"ATkel, Walle",0.0
2017,"AU8UST, CRNVL",0.0
2017,AURORA,6768.0
2017,AUTRANS,0.0
2017,AV,0.0
2017,AV AV AV,0.0
2017,"AVE, EFX, Varun, Andy Marsh",0.0
2017,"AVE, EFX, Varun, LA James",0.0
2017,AVEPARADISO,0.0
2017,"AVGVSTVS, CASTROW",0.0
2017,AVVAH,0.0
